MSOA11CD,MSOA,residual
E02000437,Harrow 005,-18157.6422
E02000438,Harrow 006,33640.96793
E02000439,Harrow 007,-126972.7283
E02000440,Harrow 008,-201947.0011
E02000441,Harrow 009,-7564.16239
E02000442,Harrow 010,-122966.6533
E02000443,Harrow 011,-15621.92803
E02000444,Harrow 012,-176842.46
E02000445,Harrow 013,-131993.651
E02000447,Harrow 015,-253843.1884
E02000448,Harrow 016,-113958.4005
E02000449,Harrow 017,-118345.7106
E02000451,Harrow 019,-343772.1245
E02000452,Harrow 020,-120078.2942
E02000453,Harrow 021,-201434.363
E02000454,Harrow 022,-364465.0869
E02000455,Harrow 023,-207697.8415
E02000456,Harrow 024,-255464.1437
E02000457,Harrow 025,-282053.6761
E02000459,Harrow 027,-127629.7046
E02000460,Harrow 028,-44438.50361
E02000461,Harrow 029,-207516.7406
E02000462,Harrow 030,-129082.3382
E02000463,Harrow 031,-78032.21931
E02006795,Harrow 032,-220918.6332
E02006882,Harrow 033,-115430.0366
E02000464,Havering 001,-51829.30028
E02000465,Havering 002,-100002.7357
E02000466,Havering 003,-46424.33466
E02000467,Havering 004,-41508.53977
E02000468,Havering 005,-141011.252
E02000469,Havering 006,-84995.7065
E02000470,Havering 007,-344928.0083
E02000471,Havering 008,-214299.1992
E02000472,Havering 009,-237452.4501
E02000473,Havering 010,-160975.3077
E02000474,Havering 011,-138589.5365
E02000475,Havering 012,-50588.23525
E02000476,Havering 013,-163696.322
E02000477,Havering 014,-378850.3326
E02000478,Havering 015,-27662.18552
E02000479,Havering 016,-121201.6851
E02000480,Havering 017,-216640.1454
E02000481,Havering 018,-260775.9377
E02000482,Havering 019,-391356.072
E02000483,Havering 020,-225557.6286
E02000484,Havering 021,-291377.7279
E02000485,Havering 022,-302189.5619
E02000486,Havering 023,-310216.1687
E02000487,Havering 024,-711371.8471
E02000488,Havering 025,-378380.7753
E02000489,Havering 026,-182632.9492
E02000490,Havering 027,-142299.2764
E02000491,Havering 028,-75063.86667
E02000492,Havering 029,-170935.7209
E02000493,Havering 030,-200383.444
E02000494,Hillingdon 001,109876.8574
E02000495,Hillingdon 002,-45515.51945
E02000496,Hillingdon 003,-152211.6456
E02000497,Hillingdon 004,-190106.6983
E02000498,Hillingdon 005,-268953.5739
E02000499,Hillingdon 006,-280480.5838
E02000500,Hillingdon 007,-324899.0958
E02000501,Hillingdon 008,-249094.3164
E02000502,Hillingdon 009,-259364.5648
E02000503,Hillingdon 010,-451546.3914
E02000504,Hillingdon 011,-188806.1996
E02000506,Hillingdon 013,-110418.3261
E02000507,Hillingdon 014,-294591.2878
E02000508,Hillingdon 015,-268281.1681
E02000509,Hillingdon 016,-312018.9294
E02000510,Hillingdon 017,-254028.9147
E02000511,Hillingdon 018,-254963.508
E02000512,Hillingdon 019,-169160.9908
E02000513,Hillingdon 020,-38858.00122
E02000514,Hillingdon 021,-185920.8767
E02000515,Hillingdon 022,-150162.1118
E02000516,Hillingdon 023,-152846.0383
E02000517,Hillingdon 024,-93421.40622
E02000518,Hillingdon 025,-172117.2792
E02000519,Hillingdon 026,-102367.9859
E02000520,Hillingdon 027,-79750.50162
E02000521,Hillingdon 028,-173460.5134
E02000522,Hillingdon 029,-134718.6254
E02000523,Hillingdon 030,-139134.5418
E02000524,Hillingdon 031,-148796.5317
E02000525,Hillingdon 032,-164915.566
E02006796,Hillingdon 033,-259901.8935
E02000526,Hounslow 001,110196.0119
E02000528,Hounslow 003,14954.45516
E02000529,Hounslow 004,-126896.9348
E02000530,Hounslow 005,-49478.52749
E02000531,Hounslow 006,-11007.21675
E02000532,Hounslow 007,208298.1122
E02000533,Hounslow 008,-18689.88104
E02000534,Hounslow 009,-145150.9252
E02000535,Hounslow 010,-136606.7024
E02000536,Hounslow 011,-96359.44033
E02000537,Hounslow 012,-165516.8498
E02000538,Hounslow 013,-84409.56686
E02000539,Hounslow 014,-107511.8311
E02000540,Hounslow 015,-130977.5675
E02000541,Hounslow 016,-44519.54168
E02000542,Hounslow 017,-77953.05709
E02000543,Hounslow 018,-91982.58604
E02000544,Hounslow 019,-200168.7526
E02000545,Hounslow 020,-41456.331
E02000546,Hounslow 021,-112282.1923
E02000547,Hounslow 022,-55382.64996
E02000548,Hounslow 023,-109668.5311
E02000549,Hounslow 024,-119485.1125
E02000550,Hounslow 025,-116710.9001
E02000551,Hounslow 026,-31592.71725
E02000552,Hounslow 027,-242526.9037
E02000553,Hounslow 028,-93747.24529
E02006792,Hounslow 029,43662.54876
E02000554,Islington 001,169620.0145
E02000555,Islington 002,46449.87275
E02000556,Islington 003,-16676.72196
E02000557,Islington 004,71835.01982
E02000558,Islington 005,155632.3934
E02000559,Islington 006,-58937.32861
E02000560,Islington 007,61224.18025
E02000561,Islington 008,-34972.91769
E02000562,Islington 009,6551.354585
E02000563,Islington 010,108735.3173
E02000564,Islington 011,-58403.87958
E02000565,Islington 012,150249.2139
E02000566,Islington 013,134246.8067
E02000567,Islington 014,49476.79643
E02000568,Islington 015,52623.825
E02000569,Islington 016,285802.8328
E02000570,Islington 017,-66608.4127
E02000571,Islington 018,91420.17015
E02000572,Islington 019,143869.4156
E02000573,Islington 020,109315.285
E02000574,Islington 021,97558.70463
E02000575,Islington 022,78762.13293
E02000576,Islington 023,62777.35624
E02000577,Kensington and Chelsea 001,368100.5246
E02000578,Kensington and Chelsea 002,407698.778
E02000579,Kensington and Chelsea 003,484809.4086
E02000580,Kensington and Chelsea 004,725319.6313
E02000581,Kensington and Chelsea 005,690033.9157
E02000582,Kensington and Chelsea 006,1109836.136
E02000583,Kensington and Chelsea 007,1393811.561
E02000584,Kensington and Chelsea 008,1081839.104
E02000585,Kensington and Chelsea 009,1454813.666
E02000586,Kensington and Chelsea 010,1316244.248
E02000587,Kensington and Chelsea 011,1197982.882
E02000588,Kensington and Chelsea 012,1954249.902
E02000589,Kensington and Chelsea 013,477481.243
E02000590,Kensington and Chelsea 014,1406883.425
E02000591,Kensington and Chelsea 015,703308.1095
E02000592,Kensington and Chelsea 016,929970.9073
E02000593,Kensington and Chelsea 017,292508.9179
E02000594,Kensington and Chelsea 018,2179944.731
E02000595,Kensington and Chelsea 019,1369766.264
E02000596,Kensington and Chelsea 020,664010.5195
E02000597,Kensington and Chelsea 021,928226.3497
E02000598,Kingston upon Thames 001,-345600.4515
E02000599,Kingston upon Thames 002,240360.6903
E02000600,Kingston upon Thames 003,-166227.3675
E02000601,Kingston upon Thames 004,-295984.9438
E02000602,Kingston upon Thames 005,-127518.4197
E02000603,Kingston upon Thames 006,-114765.373
E02000604,Kingston upon Thames 007,-173486.4809
E02000605,Kingston upon Thames 008,-203231.8533
E02000606,Kingston upon Thames 009,-263135.6646
E02000607,Kingston upon Thames 010,-298906.6291
E02000608,Kingston upon Thames 011,-350052.5677
E02000609,Kingston upon Thames 012,-112198.7062
E02000610,Kingston upon Thames 013,-348261.1208
E02000611,Kingston upon Thames 014,-403016.996
E02000612,Kingston upon Thames 015,-168953.1151
E02000613,Kingston upon Thames 016,-194698.0733
E02000614,Kingston upon Thames 017,-216940.1267
E02000615,Kingston upon Thames 018,-257151.4687
E02000616,Kingston upon Thames 019,-276010.5931
E02000617,Kingston upon Thames 020,-295523.028
E02000619,Lambeth 002,55196.56562
E02000620,Lambeth 003,79445.23655
E02000621,Lambeth 004,1048529.359
E02000622,Lambeth 005,-133341.0687
E02000623,Lambeth 006,46213.33004
E02000624,Lambeth 007,-91544.77704
E02000625,Lambeth 008,-30829.37954
E02000626,Lambeth 009,90576.23693
E02000627,Lambeth 010,-113935.864
E02000628,Lambeth 011,163550.6204
E02000629,Lambeth 012,-80843.09833
E02000630,Lambeth 013,7276.49359
E02000631,Lambeth 014,-54770.05585
E02000632,Lambeth 015,-184885.76
E02000633,Lambeth 016,122524.9255
E02000634,Lambeth 017,64035.79718
E02000635,Lambeth 018,117587.3404
E02000636,Lambeth 019,-173301.5136
E02000637,Lambeth 020,751.3081372
E02000638,Lambeth 021,-33883.64225
E02000639,Lambeth 022,104550.3184
E02000640,Lambeth 023,-150188.5061
E02000641,Lambeth 024,14817.91255
E02000642,Lambeth 025,49776.60375
E02000643,Lambeth 026,-44506.73753
E02000644,Lambeth 027,-9067.086386
E02000645,Lambeth 028,-47084.45087
E02000646,Lambeth 029,-93532.02741
E02000647,Lambeth 030,-63513.99777
E02000648,Lambeth 031,132935.2347
E02000649,Lambeth 032,-76740.07904
E02000650,Lambeth 033,-3248.448221
E02000651,Lambeth 034,38020.86616
E02000652,Lambeth 035,37180.53909
E02006801,Lambeth 036,93491.90406
E02000653,Lewisham 001,11867.87443
E02000654,Lewisham 002,62431.10479
E02000655,Lewisham 003,-63444.70932
E02000657,Lewisham 005,14748.49335
E02000658,Lewisham 006,50416.10009
E02000659,Lewisham 007,59818.16316
E02000660,Lewisham 008,-19240.80332
E02000661,Lewisham 009,-182235.2485
E02000662,Lewisham 010,13949.23741
E02000663,Lewisham 011,-113809.776
E02000664,Lewisham 012,78830.62711
E02000665,Lewisham 013,-42509.62631
E02000666,Lewisham 014,-81944.26786
E02000667,Lewisham 015,-73101.90548
E02000668,Lewisham 016,-82330.02115
E02000669,Lewisham 017,-47564.42588
E02000670,Lewisham 018,97566.14783
E02000671,Lewisham 019,-2065.462097
E02000672,Lewisham 020,43344.81195
E02000673,Lewisham 021,-141562.1674
E02000674,Lewisham 022,-141149.835
E02000675,Lewisham 023,-152243.4529
E02000676,Lewisham 024,-95282.67415
E02000677,Lewisham 025,-131346.5679
E02000678,Lewisham 026,-79568.91787
E02000679,Lewisham 027,67449.86995
E02000680,Lewisham 028,87213.35862
E02000681,Lewisham 029,80465.29927
E02000682,Lewisham 030,35142.63007
E02000683,Lewisham 031,18711.9065
E02000685,Lewisham 033,21063.33857
E02000686,Lewisham 034,16904.01945
E02000687,Lewisham 035,-10283.33144
E02006783,Lewisham 037,79747.34314
E02006784,Lewisham 038,101859.9616
E02006798,Lewisham 039,57997.68155
E02000689,Merton 001,-200611.8752
E02000690,Merton 002,1135487.637
E02000691,Merton 003,-139867.3567
E02000692,Merton 004,-82669.1175
E02000693,Merton 005,-207895.4111
E02000694,Merton 006,-322303.7171
E02000695,Merton 007,-42116.9487
E02000696,Merton 008,-163836.9194
E02000697,Merton 009,-336675.5131
E02000698,Merton 010,163885.8349
E02000699,Merton 011,-298208.2621
E02000700,Merton 012,-9087.470423
E02000701,Merton 013,-141307.5099
E02000702,Merton 014,-68969.58342
E02000703,Merton 015,-8110.525626
E02000704,Merton 016,-131395.4942
E02000705,Merton 017,-116492.6487
E02000706,Merton 018,59079.18858
E02000707,Merton 019,-53929.02492
E02000708,Merton 020,-288575.0156
E02000709,Merton 021,-123184.793
E02000710,Merton 022,-34812.17511
E02000711,Merton 023,-53194.49153
E02000712,Merton 024,-51971.75298
E02000713,Merton 025,-176146.3104
E02000714,Newham 001,47010.87524
E02000715,Newham 002,156653.9455
E02000716,Newham 003,113846.8478
E02000717,Newham 004,31680.23552
E02000718,Newham 005,82446.36736
E02000719,Newham 006,84483.68594
E02000720,Newham 007,177484.5766
E02000721,Newham 008,46365.63152
