MSOA11CD,MSOA,housing_price,mean_income,population,fertility_rate
E02000392,Hammersmith and Fulham 021,1058895,68700,9131,86.3
E02000393,Hammersmith and Fulham 022,934075,84800,5720,42.1
E02000394,Hammersmith and Fulham 023,966217,57200,8072,56.9
E02000395,Hammersmith and Fulham 024,1372082,69700,5872,82.9
E02000396,Hammersmith and Fulham 025,1178795,63700,6580,73.6
E02000397,Haringey 001,359718,43400,8456,103.1
E02000398,Haringey 002,241766,32000,7302,81.2
E02000400,Haringey 004,412571,46300,8186,70.8
E02000401,Haringey 005,301623,36100,7054,73.1
E02000402,Haringey 006,228157,36700,6843,82.2
E02000403,Haringey 007,397970,48300,8006,83.7
E02000404,Haringey 008,312153,42600,7848,65.1
E02000405,Haringey 009,778833,68000,6607,73.7
E02000406,Haringey 010,361743,41200,7341,115.8
E02000407,Haringey 011,288535,39100,7876,87.2
E02000408,Haringey 012,261351,39500,8292,70
E02000409,Haringey 013,372289,34500,6313,58.9
E02000410,Haringey 014,667008,64100,6701,84.8
E02000411,Haringey 015,272634,38200,9447,74.7
E02000412,Haringey 016,358343,36500,7509,68.9
E02000413,Haringey 017,773705,56200,7649,80.4
E02000414,Haringey 018,360208,43500,7552,73
E02000415,Haringey 019,373828,44600,7142,76
E02000416,Haringey 020,413228,47500,7746,71.4
E02000417,Haringey 021,849886,64700,6448,61.4
E02000418,Haringey 022,852882,64800,5683,76.6
E02000419,Haringey 023,492781,43800,8934,92.2
E02000420,Haringey 024,340192,40500,7811,79.7
E02000421,Haringey 025,307660,35200,7305,95.7
E02000422,Haringey 026,332707,34800,8205,62.2
E02000423,Haringey 027,417912,48000,7446,57.4
E02000424,Haringey 028,632223,54100,7363,154.9
E02000425,Haringey 029,402461,38500,7602,65
E02000426,Haringey 030,1480738,62300,6281,57.7
E02000427,Haringey 031,489245,61500,7229,84.2
E02000428,Haringey 032,354835,39700,7761,63.1
E02000429,Haringey 033,734895,69500,7076,69.8
E02000430,Haringey 034,638237,60600,7571,51.1
E02000431,Haringey 035,944252,70200,6302,54.3
E02000432,Haringey 036,500346,52900,6665,94.5
E02006794,Haringey 037,264914,32900,7989,85.2
E02000433,Harrow 001,791951,52100,8016,62.1
E02000434,Harrow 002,451981,51900,9189,38.4
E02000435,Harrow 003,511859,51400,7777,82.7
E02000436,Harrow 004,621978,62400,5738,71.8
E02000437,Harrow 005,399401,50400,8864,94.7
E02000438,Harrow 006,456755,47600,8029,73.6
E02000439,Harrow 007,326539,48100,8596,66.7
E02000440,Harrow 008,430526,59300,9662,82.8
E02000441,Harrow 009,485767,53600,6842,90.9
E02000442,Harrow 010,376628,54000,9078,91.5
E02000443,Harrow 011,298819,45300,9710,94.7
E02000444,Harrow 012,415453,52400,8713,49
E02000445,Harrow 013,275036,45800,10711,66.7
E02000447,Harrow 015,402026,57400,6972,61.8
E02000448,Harrow 016,614345,62900,7004,74.9
E02000449,Harrow 017,339580,47300,8417,59.7
E02000451,Harrow 019,422991,62200,6682,57
E02000452,Harrow 020,301326,49600,8475,87.9
E02000453,Harrow 021,351736,54600,8034,77.4
E02000454,Harrow 022,507721,66600,7080,51.4
E02000455,Harrow 023,336748,53600,8475,73.5
E02000456,Harrow 024,331963,55400,7146,71.3
E02000457,Harrow 025,394670,57500,6377,55.4
E02000459,Harrow 027,342824,49100,8767,67.8
E02000460,Harrow 028,314234,48600,6639,102.3
E02000461,Harrow 029,423072,57200,7215,69
E02000462,Harrow 030,315367,49200,6755,77.3
E02000463,Harrow 031,334710,47400,8436,75.7
E02006795,Harrow 032,368264,54300,8212,63.1
E02006882,Harrow 033,419362,54000,14400,79.6
E02000464,Havering 001,229223,38900,6796,62.1
E02000465,Havering 002,237480,43200,8429,72.4
E02000466,Havering 003,254222,43700,8508,88.4
E02000467,Havering 004,198429,36800,10142,61.6
E02000468,Havering 005,270179,45800,8021,65.3
E02000469,Havering 006,208868,38400,6921,54.3
E02000470,Havering 007,301997,53100,8244,35.3
E02000471,Havering 008,333101,54300,7564,77.3
E02000472,Havering 009,252795,48900,9133,59.7
E02000473,Havering 010,300302,50500,9925,80.5
E02000474,Havering 011,239498,45400,8751,73.8
E02000475,Havering 012,334881,53200,9564,124.8
E02000476,Havering 013,224874,43400,9157,56.5
E02000477,Havering 014,334120,56000,9529,32.7
E02000478,Havering 015,646003,60300,5922,75.6
E02000479,Havering 016,226013,44800,8829,80.1
E02000480,Havering 017,209857,45900,10922,60.7
E02000481,Havering 018,311160,51100,8081,47
E02000482,Havering 019,471080,67400,6483,60.2
E02000483,Havering 020,265425,46600,7924,43.6
E02000484,Havering 021,306734,52600,8368,48.4
E02000485,Havering 022,287776,51600,8152,44.3
E02000486,Havering 023,278344,50400,7503,36.6
E02000487,Havering 024,499962,81300,7802,37.1
E02000488,Havering 025,292133,57800,7508,59.5
E02000489,Havering 026,273840,46500,8150,54.7
E02000490,Havering 027,240447,44400,7882,65.3
E02000491,Havering 028,242546,39900,8952,56.5
E02000492,Havering 029,277842,48500,6449,71
E02000493,Havering 030,203125,41700,6363,39.7
E02000494,Hillingdon 001,748456,56900,7397,64.2
E02000495,Hillingdon 002,408854,50000,10008,79.4
E02000496,Hillingdon 003,339049,51000,7563,73.8
E02000497,Hillingdon 004,424898,56200,9164,67.4
E02000498,Hillingdon 005,387582,55600,6054,49.2
E02000499,Hillingdon 006,487813,61200,7808,49.7
E02000500,Hillingdon 007,465431,63600,7981,58.7
E02000501,Hillingdon 008,397986,56700,8410,59.9
E02000502,Hillingdon 009,356439,56100,8214,66.5
E02000503,Hillingdon 010,358524,62000,9187,41
E02000504,Hillingdon 011,517314,63600,7421,87.3
E02000506,Hillingdon 013,561846,56200,7819,48
E02000507,Hillingdon 014,324138,55600,8051,62
E02000508,Hillingdon 015,325215,52600,10662,50
E02000509,Hillingdon 016,275166,53500,11817,58.3
E02000510,Hillingdon 017,333756,53900,8781,60.9
E02000511,Hillingdon 018,266265,51300,9895,65.6
E02000512,Hillingdon 019,273060,47600,8337,67.1
E02000513,Hillingdon 020,226495,43200,9590,97
E02000514,Hillingdon 021,275582,49600,10426,74.3
E02000515,Hillingdon 022,225928,48600,11194,96.4
E02000516,Hillingdon 023,264055,47500,8868,75
E02000517,Hillingdon 024,264716,48100,9546,99.1
E02000518,Hillingdon 025,269258,48300,8887,72.2
E02000519,Hillingdon 026,280961,48700,9224,94.6
E02000520,Hillingdon 027,266075,46600,12834,93
E02000521,Hillingdon 028,251424,49400,11611,85.3
E02000522,Hillingdon 029,282207,50100,9199,92.8
E02000523,Hillingdon 030,258806,48900,10975,91
E02000524,Hillingdon 031,265629,48700,7293,84.1
E02000525,Hillingdon 032,216794,48700,9625,95.2
E02006796,Hillingdon 033,325357,52300,8849,50.7
E02000526,Hounslow 001,1181077,76900,8406,54.7
E02000528,Hounslow 003,419375,49000,11081,89.5
E02000529,Hounslow 004,261409,46500,8699,77.8
E02000530,Hounslow 005,223689,41700,7020,84
E02000531,Hounslow 006,422596,51600,10174,97.5
E02000532,Hounslow 007,943854,60800,9155,58
E02000533,Hounslow 008,725361,63800,8399,75.8
E02000534,Hounslow 009,427784,59000,8173,100.9
E02000535,Hounslow 010,322707,50600,9360,81.9
E02000536,Hounslow 011,348509,49200,9582,77.2
E02000537,Hounslow 012,387190,52900,9071,65.9
E02000538,Hounslow 013,263695,46300,9554,90.1
E02000539,Hounslow 014,344237,53200,11107,102.3
E02000540,Hounslow 015,327589,49800,10186,76.6
E02000541,Hounslow 016,265099,45800,9289,99.8
E02000542,Hounslow 017,261077,47600,10997,102.1
E02000543,Hounslow 018,275838,51000,12929,115.7
E02000544,Hounslow 019,362731,52800,8498,61.8
E02000545,Hounslow 020,377988,47200,8499,72.1
E02000546,Hounslow 021,267987,47900,10055,90.2
